Name;Region;Address;Proposal
ptyx;SH;RXXZ6AbQ8CazerJRG2LdjDipxGqh7fU7zE;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/ptyx
ptyx;NA;RGgHtNEAwr9czWQeypyDkmVK58ie7BpAUC;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/ptyx
rnr;NA;RNJH663aPf66Mj2UaV6oL766LtVc3MZv6Q;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/rnr
rnr;AR;RJYHNPK5hp4ZM5H12KrDXiLLnnq7fnxy3Y;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/rnr
shossain;EU;RSUMqZFwz7yPzTmyzEtH9VzH7LBoD7twSB;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/shossain
shossain;AR;RFUN8XezmmZt47pzVmoz7aN5LtFNV9pyuj;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/shossain
thegaltmines;SH;RUCYSpGn2H8kMc631FLaBxJzma5Nekvft1 ;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/thegaltmines
thegaltmines;EU;RAusaHRqdMmML3szif3Wai1ZSEWCyu7X9Y ;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/thegaltmines
thegaltmines;AR;RNr5ohVaEusDCngp9pgWWYSc1YaWdMfjUH ;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/thegaltmines
titomane;NA;RTA3ZCQNxpkUMsGBGevDYrNo1U922oQHNb;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/titomane
voskcoin;NA;RQio4FHvdPJr5xP8LR2cDzoiUcZWHEWxDh;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/voskcoin
voskcoin;EU;RR14RjE8vU2eDEdBeBTuMpBbvHbs7vXgo5;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/voskcoin
voskcoin;AR;RS8gWL4s46LfkFVB1Q4jffiVmAz127RiJU;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/voskcoin
voskcoin;SH;RX4tdCnbb68MTJtSN63aaTcA79HHo3t2GA;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/voskcoin
webworker01;NA;RPyD36pL25mRh4uNR2AaEHfoUjVHYDUbVe;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/webworker01
workax;AR;RAMra8yeFrrGP29jBfKFjtm5kG9fpPixFg;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/workax
workax;NA;RHvoYh4P9zdWF4uKMeiP9NL95cXhiuwoS3;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/workax
workax;SH;RPmTPuuKrRwfzgyxpmMameJq8g76NPrczH;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/workax
workax;EU;RPTNVH8GzxczFWJXr8XCrEnSAJD9yQ5HFq;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/workax
xrobesx;NA;RLQoAcs1RaqW1xfN2NJwoZWW5twexPhuGB;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/xrobesx
